"prefID","pref","population2020","exdeath_2016","exdeath_2017","exdeath_2018","exdeath_2019","exdeath_2020","exdeath_2021","exdeath_2022","exdeath_2023","exdeath_pop_2016","exdeath_pop_2017","exdeath_pop_2018","exdeath_pop_2019","exdeath_pop_2020","exdeath_pop_2021","exdeath_pop_2022","exdeath_pop_2023","exdeath_pop_3years"
"01","北海道",5224614,-11,70,506,551,-1108,2987,4561,366,-0.21054186969601965,1.3398118980655795,9.684926006016903,10.546233654773348,-21.20730832938089,57.17168770745552,87.2983152439587,7.005302209885745,123.26269462203332
"02","青森県",1237984,8,221,66,213,-659,419,1168,176,0.6462119058081526,17.851603897950216,5.331248222917259,17.20539199214206,-53.23170574094657,33.84534856670199,94.34693824799028,14.216661927779358,74.9605810737457
"03","岩手県",1210534,28,49,-217,-12,-910,184,1617,303,2.3130287955563413,4.047800392223597,-17.925973165561643,-0.991298055238432,-75.17343585558109,15.199903513655956,133.5774129433787,25.03027589477041,73.60388060145357
"04","宮城県",2301996,18,48,31,304,-923,676,1873,305,0.7819301162990726,2.085146976797527,1.3466574225150696,13.205930853051004,-40.09563874133578,29.36581992323184,81.36417265712016,13.24937141506762,70.63435383901623
"05","秋田県",959502,42,228,-129,102,-516,406,1162,127,4.3772707091803875,23.762326706979245,-13.444474321054047,10.630514579438083,-53.77789728421619,42.31361685541041,121.10448962065739,13.236032858712123,109.64020919185161
"06","山形県",1068027,-13,145,-87,198,-405,290,1022,88,-1.2171976925676973,13.576435801716624,-8.145861481029973,18.53885716372339,-37.92038965307057,27.152871603433248,95.6904647541682,8.23949207276595,84.92294670453089
"07","福島県",1833152,31,503,-332,-330,-1008,1019,2048,220,1.6910763537338966,27.439077610585482,-18.11088223998883,-18.00178053974793,-54.98725692141186,55.58731627273679,111.72014104667807,12.001187026498622,112.320200398003
"08","茨城県",2867009,-67,522,284,-208,-1323,413,3199,497,-2.3369302293784218,18.20712805575427,9.90579380811152,-7.2549475777718175,-46.14565214130824,14.40525648855654,111.57969856390406,17.33513916419516,79.83930291115236
"09","栃木県",1933146,30,575,-186,-370,-840,866,2182,314,1.5518745092196864,29.744261426710658,-9.621621957162056,-19.139785613709467,-43.45248625815122,44.79744416614162,112.87300597057853,16.242953196499386,114.21796387856892
"10","群馬県",1939110,-4,444,158,-145,-498,911,1943,460,-0.2062802007106353,22.897102278880517,8.148067928070095,-7.47765727576053,-25.681884988474092,46.98031571184719,100.2006074951911,23.722223081723058,121.4990382185642
"11","埼玉県",7344765,4,1188,794,110,-596,2936,5192,686,0.05446055796203146,16.174785714723345,10.810420755463245,1.4976653439558651,-8.114623136342688,39.97404954413109,70.68980423471683,9.339985690488396,102.54923064250524
"12","千葉県",6284480,16,1249,-577,622,-1077,1789,5124,665,0.2545954478333927,19.87435714649422,-9.181348337491725,9.897398034523142,-17.137456082285247,28.466953510871225,81.53419216864403,10.581623300575385,92.86368959723
"13","東京都",14047594,73,2549,1455,-443,-2172,5475,10017,992,0.5196619435328214,18.145456083084404,10.35764558685281,-3.153564945000546,-15.461722484291617,38.9746457649616,71.3075847721681,7.0617075066377915,94.82050805283808
"14","神奈川県",9237337,-58,1713,272,-592,-1790,4015,7413,498,-0.6278865867944409,18.544305572049606,2.9445715794497915,-6.408773437626017,-19.37787914417326,43.46490768930483,80.25040117081362,5.391164141786751,104.33742971594519
"15","新潟県",2201272,1,557,365,146,-1565,790,1535,375,0.045428279649221,25.303551764616095,16.581322071965662,6.632528828786265,-71.09525765103086,35.88834092288459,69.73240926155422,17.035604868457874,34.52549253340795
"16","富山県",1034814,-18,321,-203,-152,-390,583,1476,194,-1.7394430303416846,31.02006737442671,-19.61705195329789,-14.688630033996448,-37.687932324069834,56.338627038289005,142.63432848801813,18.747330438127044,161.2850232022373
"17","石川県",1132526,-3,290,-65,83,-354,353,1001,193,-0.2648945807866663,25.606476142711074,-5.7393825837111025,7.3287500684311,-31.25756053282662,31.169262339231064,88.38649178915098,17.041551363942197,88.29819359555543
"18","福井県",766863,-21,118,-330,78,-313,420,714,102,-2.7384291587936826,15.387363844650217,-43.032458209615015,10.171308304090822,-40.815634604877275,54.76858317587366,93.10659139898522,13.30094162842646,107.0595399699816
"19","山梨県",809974,4,67,242,158,-371,144,876,159,0.4938430122448375,8.271870455101029,29.877502240812667,19.506798983671082,-45.803939385708674,17.77834844081415,108.15161968161941,19.63025973673229,80.12602873672489
"20","長野県",2048011,8,515,-465,174,-808,603,2289,302,0.3906229019277728,25.14634931160038,-22.704956174551796,8.49604811692906,-39.45291309470506,29.44320123280588,111.766977814084,14.746014547773425,101.75726595218482
"21","岐阜県",1978742,-25,389,-228,-213,-1015,1122,2092,237,-1.2634289866996304,19.658955033046247,-11.522472358700629,-10.764414966680851,-51.29521686000499,56.70269292307941,105.72373760702507,11.977306793912495,111.1312136700995
"22","静岡県",3633202,6,1179,695,-439,-1431,690,3653,692,0.16514358408918633,32.450714273525115,19.129131823664085,-12.083005569192133,-39.38674480527094,18.991512170256428,100.54491877963295,19.046560031619492,80.14968614461844
"23","愛知県",7542415,30,1042,599,-448,-1198,2263,6212,471,0.39775058784222295,13.815203751053211,7.941753403916385,-5.939742111777196,-15.88350680783277,30.003652676231685,82.3608883891963,6.2446842291229006,96.48103425759521
"24","三重県",1770254,-14,94,134,-243,-584,798,1738,440,-0.7908469632041504,5.309972467227866,7.569535219239725,-13.726843718472038,-32.98961617937313,45.078276902636574,98.17800157491524,24.85519027213044,110.26666229817869
