week_ending_date,Hokkaido_Observed,Hokkaido_Estimated,Hokkaido_95Upper,Hokkaido_95Lower,Aomori_Observed,Aomori_Estimated,Aomori_95Upper,Aomori_95Lower,Iwate_Observed,Iwate_Estimated,Iwate_95Upper,Iwate_95Lower,Miyagi_Observed,Miyagi_Estimated,Miyagi_95Upper,Miyagi_95Lower,Akita_Observed,Akita_Estimated,Akita_95Upper,Akita_95Lower,Yamagata_Observed,Yamagata_Estimated,Yamagata_95Upper,Yamagata_95Lower,Fukushima_Observed,Fukushima_Estimated,Fukushima_95Upper,Fukushima_95Lower,Ibaraki_Observed,Ibaraki_Estimated,Ibaraki_95Upper,Ibaraki_95Lower,Tochigi_Observed,Tochigi_Estimated,Tochigi_95Upper,Tochigi_95Lower,Gunma_Observed,Gunma_Estimated,Gunma_95Upper,Gunma_95Lower,Saitama_Observed,Saitama_Estimated,Saitama_95Upper,Saitama_95Lower,Chiba_Observed,Chiba_Estimated,Chiba_95Upper,Chiba_95Lower,Tokyo_Observed,Tokyo_Estimated,Tokyo_95Upper,Tokyo_95Lower,Kanagawa_Observed,Kanagawa_Estimated,Kanagawa_95Upper,Kanagawa_95Lower,Niigata_Observed,Niigata_Estimated,Niigata_95Upper,Niigata_95Lower,Toyama_Observed,Toyama_Estimated,Toyama_95Upper,Toyama_95Lower,Ishikawa_Observed,Ishikawa_Estimated,Ishikawa_95Upper,Ishikawa_95Lower,Fukui_Observed,Fukui_Estimated,Fukui_95Upper,Fukui_95Lower,Yamanashi_Observed,Yamanashi_Estimated,Yamanashi_95Upper,Yamanashi_95Lower,Nagano_Observed,Nagano_Estimated,Nagano_95Upper,Nagano_95Lower,Gifu_Observed,Gifu_Estimated,Gifu_95Upper,Gifu_95Lower,Shizuoka_Observed,Shizuoka_Estimated,Shizuoka_95Upper,Shizuoka_95Lower,Aichi_Observed,Aichi_Estimated,Aichi_95Upper,Aichi_95Lower,Mie_Observed,Mie_Estimated,Mie_95Upper,Mie_95Lower,Shiga_Observed,Shiga_Estimated,Shiga_95Upper,Shiga_95Lower,Kyoto_Observed,Kyoto_Estimated,Kyoto_95Upper,Kyoto_95Lower,Osaka_Observed,Osaka_Estimated,Osaka_95Upper,Osaka_95Lower,Hyogo_Observed,Hyogo_Estimated,Hyogo_95Upper,Hyogo_95Lower,Nara_Observed,Nara_Estimated,Nara_95Upper,Nara_95Lower,Wakayama_Observed,Wakayama_Estimated,Wakayama_95Upper,Wakayama_95Lower,Tottori_Observed,Tottori_Estimated,Tottori_95Upper,Tottori_95Lower,Shimane_Observed,Shimane_Estimated,Shimane_95Upper,Shimane_95Lower,Okayama_Observed,Okayama_Estimated,Okayama_95Upper,Okayama_95Lower,Hiroshima_Observed,Hiroshima_Estimated,Hiroshima_95Upper,Hiroshima_95Lower,Yamaguchi_Observed,Yamaguchi_Estimated,Yamaguchi_95Upper,Yamaguchi_95Lower,Tokushima_Observed,Tokushima_Estimated,Tokushima_95Upper,Tokushima_95Lower,Kagawa_Observed,Kagawa_Estimated,Kagawa_95Upper,Kagawa_95Lower,Ehime_Observed,Ehime_Estimated,Ehime_95Upper,Ehime_95Lower,Kochi_Observed,Kochi_Estimated,Kochi_95Upper,Kochi_95Lower,Fukuoka_Observed,Fukuoka_Estimated,Fukuoka_95Upper,Fukuoka_95Lower,Saga_Observed,Saga_Estimated,Saga_95Upper,Saga_95Lower,Nagasaki_Observed,Nagasaki_Estimated,Nagasaki_95Upper,Nagasaki_95Lower,Kumamoto_Observed,Kumamoto_Estimated,Kumamoto_95Upper,Kumamoto_95Lower,Oita_Observed,Oita_Estimated,Oita_95Upper,Oita_95Lower,Miyazaki_Observed,Miyazaki_Estimated,Miyazaki_95Upper,Miyazaki_95Lower,Kagoshima_Observed,Kagoshima_Estimated,Kagoshima_95Upper,Kagoshima_95Lower,Okinawa_Observed,Okinawa_Estimated,Okinawa_95Upper,Okinawa_95Lower,Japan_Observed,Japan_Estimated,Japan_95Upper,Japan_95Lower
24mar2019,16,18,25,11,6,6,10,2,7,5,8,1,9,8,12,3,6,4,8,1,8,4,8,1,8,7,12,3,3,10,15,5,8,7,11,3,7,8,13,4,29,23,32,15,8,21,28,13,37,38,51,27,16,26,35,18,8,9,15,4,4,4,7,1,3,4,8,1,3,3,6,0,5,3,6,0,8,7,11,3,8,6,11,3,11,12,18,6,37,19,26,12,4,7,11,2,3,5,9,1,10,7,12,3,33,29,38,20,16,18,25,11,5,5,9,2,2,5,9,2,1,0,0,0,4,2,5,0,10,6,10,2,4,8,13,4,8,5,8,1,2,2,5,0,3,4,7,1,3,5,9,2,5,3,6,0,15,17,24,11,4,3,6,0,3,5,8,1,7,5,9,2,0,5,9,2,4,4,7,1,6,5,9,2,4,5,8,1,411,387,441,336
31mar2019,21,18,25,11,4,6,10,2,7,5,9,2,7,8,12,3,8,4,8,1,5,4,8,1,10,7,12,3,6,9,15,4,8,7,12,3,8,8,12,3,22,23,32,15,16,21,28,14,49,37,49,26,38,26,34,17,13,9,15,4,4,4,7,1,4,4,7,1,1,3,5,0,3,3,6,0,6,6,11,2,5,7,11,3,11,11,17,6,31,18,26,12,1,6,11,2,4,5,8,1,9,7,12,3,32,27,36,19,23,17,24,10,11,5,9,2,3,5,9,2,1,0,0,0,4,2,5,0,10,6,10,2,6,9,14,4,5,4,8,1,1,2,5,0,4,4,7,1,4,5,9,2,2,3,6,0,14,16,23,10,2,3,6,0,0,4,8,1,2,6,9,2,8,5,9,1,9,4,7,1,4,5,9,2,7,5,8,1,453,380,433,329
07apr2019,24,18,25,11,6,7,11,3,4,5,9,2,10,8,12,3,5,4,8,1,6,4,8,1,13,7,12,3,19,10,15,5,5,7,11,3,10,8,12,3,22,23,31,15,17,21,29,14,50,37,48,26,35,26,34,17,12,9,14,4,2,4,8,1,3,4,7,1,2,3,5,0,3,3,6,0,8,6,10,2,8,6,11,2,7,11,17,6,17,19,26,12,5,6,11,2,6,4,8,1,3,7,11,2,24,27,37,19,22,17,24,11,8,5,9,2,8,5,9,2,4,2,4,0,6,2,5,0,5,5,9,2,6,9,14,4,2,4,8,1,1,2,5,0,1,4,7,1,4,5,9,2,3,3,6,0,16,16,23,10,0,3,6,0,7,5,8,1,5,5,9,2,2,5,8,1,2,4,7,1,3,5,9,2,10,5,8,1,441,380,431,331
14apr2019,16,18,25,11,1,6,10,2,5,5,9,2,12,8,13,3,8,4,7,1,4,5,8,1,7,7,12,3,8,9,15,4,11,7,12,3,3,7,12,3,22,23,31,15,24,21,29,14,36,37,49,26,33,25,33,17,10,8,14,4,4,4,7,1,3,4,7,1,3,3,5,0,2,3,6,0,5,6,10,2,9,7,11,3,13,11,16,6,24,19,27,12,5,6,10,2,5,4,8,1,5,7,11,2,31,28,37,19,9,17,24,11,0,5,9,2,5,5,10,2,4,2,5,0,2,2,5,0,7,5,9,2,2,9,13,4,4,4,7,1,2,2,5,0,1,3,6,1,7,5,9,2,0,3,6,0,14,16,23,9,3,3,6,0,9,5,8,1,6,5,9,2,4,5,8,1,5,4,8,1,6,5,9,2,3,5,8,1,402,376,425,328
21apr2019,16,18,25,11,4,6,10,2,4,5,9,2,9,8,13,4,3,4,7,1,6,5,8,1,7,7,12,3,12,9,14,4,5,7,12,3,9,7,12,3,34,23,31,15,17,21,28,13,36,37,49,25,27,24,33,16,6,9,14,4,3,4,7,1,1,4,7,1,4,3,5,0,3,3,6,0,8,6,10,2,6,7,12,3,7,11,17,6,20,20,27,12,8,6,10,2,4,5,8,1,5,7,11,2,29,29,38,20,24,18,25,11,3,5,9,2,2,5,9,2,0,2,5,0,1,2,5,0,4,5,9,2,10,9,14,4,4,4,7,1,2,2,4,0,5,3,6,1,10,5,9,2,1,3,6,0,15,16,22,9,4,3,6,0,3,5,8,1,12,5,9,2,5,4,8,1,6,4,7,1,3,6,9,2,5,5,8,1,412,376,429,326
28apr2019,12,17,24,11,2,6,10,2,2,5,9,2,6,8,13,4,3,4,7,1,4,4,8,1,13,7,12,3,11,9,14,4,5,7,12,3,6,7,12,3,17,22,30,14,16,20,28,13,34,37,49,26,16,24,32,16,10,8,13,3,2,4,7,1,3,4,7,1,1,2,5,0,2,3,6,0,5,6,10,2,2,7,11,2,11,11,17,6,20,19,26,12,2,6,11,2,6,4,8,1,2,6,11,2,28,29,38,20,19,17,24,11,6,5,8,1,1,5,9,2,0,2,4,0,1,2,5,0,4,5,9,2,9,9,14,4,4,4,8,1,2,2,4,0,5,3,6,1,9,5,9,2,8,3,6,0,17,15,21,9,1,3,6,0,3,4,8,1,9,5,9,2,3,4,8,1,2,4,8,1,1,5,9,2,2,5,8,1,347,374,426,324
05may2019,18,17,24,11,6,6,10,2,6,6,9,2,7,8,13,4,2,4,7,1,2,4,8,1,5,7,11,3,12,9,14,4,4,7,12,3,8,7,11,3,17,22,30,14,18,20,28,13,41,37,49,26,23,23,31,15,12,8,13,3,2,3,6,1,2,4,7,1,0,2,5,0,2,3,6,0,6,6,10,2,4,7,12,3,10,11,17,6,22,19,27,12,6,7,11,2,2,4,8,1,4,6,11,2,30,29,38,20,14,17,24,11,2,5,8,1,6,5,9,2,0,0,0,0,0,0,0,0,2,5,9,2,10,9,14,4,3,4,7,1,3,2,4,0,2,3,6,1,5,5,9,2,1,3,6,0,16,15,21,9,0,3,6,0,4,4,8,1,5,5,9,2,1,4,7,1,4,4,7,1,7,5,9,2,7,5,8,1,363,373,426,323
12may2019,15,18,25,11,4,6,10,2,4,6,10,2,9,8,13,4,6,4,7,1,4,4,8,1,6,7,12,3,12,8,13,4,8,7,12,3,4,7,11,3,20,22,30,15,23,20,28,13,42,38,50,27,29,23,31,15,4,8,13,4,7,4,7,1,5,4,7,1,2,2,5,0,3,3,6,0,9,6,10,2,7,7,11,3,12,11,17,6,21,20,28,13,7,7,11,3,4,5,9,1,7,6,11,2,31,29,38,20,22,17,24,11,6,4,8,1,3,5,8,1,3,0,0,0,2,0,0,0,3,5,9,2,11,9,14,4,5,4,8,1,3,2,4,0,3,3,6,0,6,5,9,2,1,3,6,0,13,15,21,9,4,3,6,0,2,4,8,1,5,5,9,2,2,4,7,1,2,4,8,1,10,5,9,2,6,4,8,1,417,376,426,327
19may2019,23,18,25,11,7,6,10,2,5,6,10,2,7,8,12,3,3,4,8,1,4,5,8,1,5,7,12,3,11,8,13,4,6,7,11,3,11,7,11,3,20,22,30,14,25,19,26,12,47,39,51,27,23,23,31,15,13,8,13,3,4,4,7,1,2,4,7,1,2,2,5,0,4,3,6,0,5,6,10,2,8,7,11,3,19,12,17,6,19,21,28,13,4,7,11,3,5,5,9,1,11,6,11,2,35,30,39,21,16,18,25,11,8,5,8,1,2,5,8,1,2,2,4,0,1,0,0,0,9,6,10,2,4,8,13,4,4,4,8,1,2,2,4,0,1,3,6,0,6,5,8,1,1,3,6,0,15,15,21,8,3,3,6,0,5,4,8,1,5,5,9,2,5,4,8,1,4,4,8,1,8,5,9,2,9,4,8,1,438,376,426,328
26may2019,21,17,24,10,0,5,9,2,7,6,10,2,6,8,12,3,5,5,8,1,2,5,8,1,6,7,12,3,9,9,14,4,7,7,11,3,7,7,11,3,20,22,30,14,15,18,25,11,33,37,49,26,37,23,31,15,6,9,14,4,1,3,6,1,3,4,7,1,1,2,5,0,1,3,6,0,3,6,10,2,1,7,11,3,12,12,17,6,12,21,28,13,7,6,11,2,4,5,9,2,5,6,11,2,27,30,40,21,18,17,24,11,7,4,8,1,2,4,8,1,0,2,4,0,6,2,5,0,5,6,10,2,12,8,13,4,6,4,8,1,4,2,4,0,1,3,6,0,4,5,8,1,3,3,6,0,20,15,21,8,6,2,5,0,5,4,8,1,6,5,8,1,8,4,8,1,4,4,8,1,4,6,9,2,0,4,8,1,379,370,423,319
